EAN,Product Name,Price
4001234567890,Classic White T-Shirt,19.99
4001234567891,Blue Denim Jeans,49.99
4001234567892,Running Shoes Pro,89.99
4001234567893,Wireless Headphones X3,129.99
4001234567894,Smart Watch Elite,199.99
4001234567895,Coffee Maker Deluxe,79.99
4001234567896,Gaming Mouse RGB,59.99
4001234567897,Laptop Backpack Premium,45.99
4001234567898,Smartphone Case Ultra,24.99
4001234567899,Yoga Mat Pro,29.99
4001234567900,Water Bottle Stainless,15.99
4001234567901,Desk Lamp LED,34.99
4001234567902,Bluetooth Speaker Mini,69.99
4001234567903,Kitchen Knife Set,89.99
4001234567904,Fitness Tracker Slim,79.99
4001234567905,Sunglasses Classic,39.99
4001234567906,Plant Pot Ceramic,19.99
4001234567907,Hand Cream Natural,9.99
4001234567908,Protein Powder Vanilla,29.99
4001234567909,Bath Towel Set,39.99
4001234567910,Mechanical Keyboard,129.99
4001234567911,Wall Clock Modern,25.99
4001234567912,Hair Dryer Pro,59.99
4001234567913,Face Moisturizer,24.99
4001234567914,Camping Tent 2-Person,149.99
4001234567915,Digital Camera HD,299.99
4001234567916,Wine Glasses Set,49.99
4001234567917,Shower Gel Lavender,8.99
4001234567918,Cutting Board Wood,29.99
4001234567919,Bed Sheets Cotton,59.99
4001234567920,Electric Toothbrush,89.99
4001234567921,Hiking Boots Waterproof,119.99
4001234567922,Air Purifier Home,199.99
4001234567923,Drum Set Beginner,399.99
4001234567924,Guitar Acoustic,249.99
4001234567925,Piano Digital,599.99
4001234567926,Microwave Oven,159.99
4001234567927,Vacuum Cleaner Robot,299.99
4001234567928,Blender Professional,129.99
4001234567929,Food Processor,89.99
4001234567930,Toaster 4-Slice,49.99
4001234567931,Rice Cooker Smart,79.99
4001234567932,Slow Cooker Large,69.99
4001234567933,Air Fryer XL,129.99
4001234567934,Pressure Cooker Electric,149.99
4001234567935,Stand Mixer Pro,299.99
4001234567936,Coffee Grinder,39.99
4001234567937,Tea Kettle Electric,59.99
4001234567938,Waffle Maker Belgian,49.99
4001234567939,Food Scale Digital,29.99
4001234567940,Measuring Cups Set,19.99
4001234567941,Cookware Set Nonstick,199.99
4001234567942,Baking Sheet Set,39.99
4001234567943,Mixing Bowls Stainless,49.99
4001234567944,Kitchen Utensil Set,29.99
4001234567945,Can Opener Electric,24.99
4001234567946,Dish Rack Large,34.99
4001234567947,Storage Containers Set,39.99
4001234567948,Lunch Box Insulated,19.99
4001234567949,Travel Mug Thermal,14.99
4001234567950,Ice Cream Maker,79.99
4001234567951,Juicer Centrifugal,89.99
4001234567952,Food Dehydrator,99.99
4001234567953,Soap Dispenser Auto,29.99
4001234567954,Trash Can Touchless,79.99
4001234567955,Drawer Organizer Set,24.99
4001234567956,Spice Rack Rotating,34.99
4001234567957,Paper Towel Holder,14.99
4001234567958,Dish Soap Natural,6.99
4001234567959,Sponges Pack,4.99
4001234567960,Dish Brush Set,9.99
4001234567961,Oven Mitts Pair,19.99
4001234567962,Apron Chef,24.99
4001234567963,Recipe Book Holder,15.99
4001234567964,Wine Opener Electric,39.99
4001234567965,Beer Glasses Set,29.99
4001234567966,Cocktail Shaker Set,49.99
4001234567967,Ice Cube Trays,9.99
4001234567968,Serving Tray Wood,39.99
4001234567969,Salad Bowl Large,29.99
4001234567970,Cheese Board Set,59.99
4001234567971,Salt and Pepper Mills,44.99
4001234567972,Napkin Holder,12.99
4001234567973,Table Runner Linen,24.99
4001234567974,Place Mats Set,29.99
4001234567975,Coasters Set,19.99
4001234567976,Cake Stand Glass,34.99
4001234567977,Cookie Jar Ceramic,24.99
4001234567978,Bread Box Metal,39.99
4001234567979,Tea Box Organizer,29.99
4001234567980,Coffee Pod Holder,19.99
4001234567981,Fruit Basket Wire,24.99
4001234567982,Kitchen Timer Digital,14.99
4001234567983,Cookbook Stand,19.99
4001234567984,Knife Sharpener Pro,49.99
4001234567985,Can Crusher,29.99
4001234567986,Bottle Opener Wall,19.99
4001234567987,Kitchen Scale Digital,34.99
4001234567988,Measuring Spoons Set,9.99
4001234567989,Rolling Pin Wood,19.99
4001234567990,Pizza Cutter Wheel,12.99
4001234567991,Ice Cream Scoop,14.99
4001234567992,Garlic Press Steel,16.99
4001234567993,Potato Masher,12.99
4001234567994,Whisk Balloon,9.99
4001234567995,Peeler Set,7.99
4001234567996,Grater 4-Sided,19.99
4001234567997,Tongs Silicone,14.99
4001234567998,Spatula Set,24.99
4001234567999,Kitchen Scissors,16.99